,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-6287,4.9292426,4.781359,8.808698,4.2222614,1
MB-3506,3.28391,3.841183,9.777979,2.3534482,1
MB-2845,3.8454313,2.6518803,10.595998,2.5105577,4
MB-0279,4.515999,2.4315822,10.425751,2.8174171,4
MB-5559,4.372211,2.044311,9.873071,3.7995677,10
MB-0598,4.211027,4.656149,8.926972,1.9271952,3
MB-4745,4.1312704,1.7498676,9.071374,3.0632617,5
MB-0544,4.5781207,5.4085073,9.398317,2.3580658,8
MB-6238,5.636349,3.446466,8.63756,2.9062607,7
MB-6179,4.5056615,4.998174,8.178757,4.4630704,8
MB-0304,5.33837,4.2459097,9.4397545,3.485131,6
MB-4822,4.958818,3.6904652,9.452568,3.7925847,4
MB-4623,4.1585383,3.8669953,9.00937,4.232946,3
MB-0194,4.262728,4.7950163,9.42181,1.9958712,3
MB-0483,5.6107907,3.722665,8.951893,2.2568917,1
MB-4999,5.4693,4.2943354,9.095273,4.2180796,7
MB-5064,5.3256335,5.3006544,10.540612,3.8189082,4
MB-7116,4.110983,4.9947886,8.107845,4.181467,8
MB-0071,4.345178,8.72456,6.175829,-0.4028179,8
MB-0437,5.264855,5.3767247,10.463854,3.5800016,4
MB-0468,4.290818,3.8984313,9.21354,4.029713,1
MB-4354,4.166167,4.0141177,8.052818,4.942693,1
MB-2853,3.1880796,3.8176198,10.455291,2.520857,6
MB-5641,5.6521716,3.5877988,8.271625,3.6769128,2
MB-0176,5.5845404,3.608514,9.183912,2.3547204,1
MB-3222,3.916481,4.087089,10.113158,2.1520507,7
MB-2796,4.1547604,3.068569,10.252877,3.077564,2
MB-5492,3.8245885,4.648885,8.633071,3.4324198,3
MB-6114,4.055933,3.1581018,8.379344,4.060921,5
MB-4599,4.2491727,4.6638503,7.6778336,5.1104116,8
MB-4708,4.5655684,4.6398797,8.957948,4.323875,3
MB-4012,4.3778605,4.37358,7.4365115,5.4770284,8
MB-0226,3.9349043,5.362337,9.364542,2.3420658,8
MB-0222,5.1785526,3.1323726,9.20362,2.2652044,4
MB-0113,4.093253,4.06437,9.41301,3.0015037,5
MB-5389,5.3801727,4.579416,9.632321,3.3842154,7
MB-3500,3.2010598,0.791933,9.375265,2.5469527,10
MB-7082,3.9932146,3.978043,9.446953,4.0052605,5
MB-0522,3.8331676,4.7411356,9.249136,1.862424,5
MB-5656,4.846092,3.0227902,9.940345,3.8670309,3
MB-4139,4.691917,5.0633187,8.443819,3.7102323,8
MB-0036,4.8030205,5.04683,9.949725,3.6135788,3
MB-0392,5.640032,3.4522257,9.300036,2.5848997,1
MB-7188,5.5998306,4.762452,9.290535,3.631191,7
MB-4407,4.3345404,3.6997278,7.710279,5.2694283,10
MB-5140,4.85167,3.8730516,8.845953,4.6104183,1
MB-5441,4.1726236,3.9593525,8.109426,4.7428317,4
MB-3547,3.245719,3.7754478,10.345806,2.4368021,4
MB-4341,4.040659,2.865681,8.818756,3.6837108,5
MB-5191,3.9525332,5.0532007,8.235877,3.8870764,8
MB-5364,3.940309,4.2803774,8.403174,4.3652444,3
MB-0002,5.2286158,3.7036386,9.703565,3.1811411,4
MB-4931,4.1290317,0.9739211,8.945784,3.1510983,10
MB-5212,4.2990437,4.724745,8.331189,2.7960308,5
MB-5022,4.435213,4.628241,9.530024,3.7217023,5
MB-4011,3.9497938,4.6951327,8.20653,3.1147563,8
MB-0663,4.4917636,2.3496625,9.633268,2.7738004,5
MB-7070,4.7196236,4.0021725,9.371233,1.9599345,9
MB-4711,4.2672443,0.9897598,9.124774,3.2671182,5
MB-7052,3.7475712,0.63141936,8.931252,2.8322144,9
MB-3351,3.8633983,4.373843,9.367185,2.028247,3
MB-5527,4.534478,0.85004365,9.119398,3.0773659,4
MB-4213,5.3551526,5.2171516,10.471415,3.9067497,4
MB-7292,4.7184143,4.3273134,9.166376,2.0064802,6
MB-4929,4.251305,4.4590397,8.311349,4.6096644,5
MB-3297,3.0456965,0.9692761,9.504198,2.608578,10
MB-4557,4.3303275,4.4193544,7.47167,5.405588,8
MB-0168,4.5625005,2.6736984,10.307541,2.595407,4
MB-4897,4.688732,2.6420429,10.193159,3.7691798,4
MB-0048,4.3825417,8.680766,6.2187233,-0.36161655,4
MB-4695,4.295443,3.865591,9.283855,4.3439918,4
MB-4870,3.9471238,4.0281215,8.912306,3.934175,3
MB-4809,3.4382744,0.47511315,8.982855,3.084607,10
MB-5318,4.6158185,4.974749,8.374574,2.9675012,5
MB-3435,3.348523,4.0098214,9.52343,2.2171164,5
MB-6230,4.206413,3.9889042,8.744305,3.9511113,3
MB-7058,4.504044,3.4252067,10.316532,2.8090348,3
MB-3824,4.606567,4.265823,9.247853,2.4222894,2
MB-5620,3.830069,4.484488,8.783692,3.4386601,8
MB-7118,4.38099,5.2705207,9.31142,3.112431,8
