,Component_1,Component_2,Component_3,Component_4,label
365,3.4672174,4.5252604,9.694799,2.3874269,4
366,5.5928836,3.7837496,9.421013,2.5858536,1
367,4.9944425,4.360798,8.029736,4.3218484,7
368,3.7931552,4.206383,8.679414,3.3360252,4
369,3.9559934,5.447807,9.421329,2.7751698,4
370,4.3363757,2.4399683,10.532775,2.4973962,3
371,4.94632,4.6366057,9.6141,2.0913303,7
372,3.3126757,3.9117243,10.173296,2.2861264,8
373,3.1502411,3.721825,10.376672,2.4009745,9
374,5.3033934,5.3244467,10.48463,3.6882913,7
375,3.5094182,0.88850665,9.377156,2.7963636,3
376,4.728808,4.507587,9.007123,4.494511,8
377,3.7167943,0.75604475,8.924487,3.2838871,8
378,4.7641745,4.794356,8.307708,2.5835063,9
379,5.339051,5.4076657,10.61968,3.7078612,9
380,4.4571705,5.3011684,8.584015,3.6774852,7
381,4.821876,2.9053755,8.769377,3.508183,1
382,4.1368546,4.7699847,8.423754,2.3630347,8
383,5.3766303,4.1283646,9.702784,2.8096225,5
384,4.758717,2.736241,10.136629,3.8121552,7
385,4.4879746,4.1600027,9.334884,3.2899063,5
386,4.598344,2.7434933,9.800021,3.9279613,1
387,3.5353045,3.8352284,9.84715,1.9829558,7
388,4.6572404,3.3907826,10.427239,3.2005148,8
389,4.351251,4.5815773,9.586827,3.2333543,2
390,4.5040083,3.100503,9.716352,2.1378574,9
391,4.5381985,2.4128218,9.499344,3.75596,1
392,5.1879473,3.63764,8.263649,2.9565873,1
393,4.5845785,3.1368227,9.364221,2.664703,4
394,5.36327,3.8872943,9.608069,2.8948061,10
395,4.5265255,4.7676744,9.689847,2.653068,10
396,4.3371177,3.4181309,7.746357,5.058808,3
397,4.1981215,1.2903433,8.842284,2.956354,9
398,4.761634,3.2498546,9.53028,2.8444908,4
399,3.894282,4.234879,10.219501,2.3703723,10
400,4.147702,4.7176046,8.557134,2.269473,9
401,5.0848794,5.1830416,8.918775,3.6067839,10
402,4.0514703,4.1823893,9.407385,1.7033417,3
403,4.17612,2.4181466,10.586324,2.5138667,10
404,5.1290655,5.175136,8.852048,2.979024,4
405,4.7441144,2.8782146,8.737074,3.0556004,3
406,4.8320937,2.9395597,10.09386,3.884331,8
407,4.067236,1.4068176,10.021917,2.3399143,3
408,4.471667,2.5249717,10.684521,3.0146675,5
409,3.0368264,3.8370419,10.259605,2.1765058,10
410,4.3788724,1.9628855,10.576764,2.7115402,10
411,5.4167914,4.3362756,9.244893,3.8310306,7
412,5.654168,4.321772,9.281717,3.6166737,2
413,5.0496445,2.8965347,8.897683,3.1494577,10
414,4.7306623,2.6239998,10.288008,3.8361225,3
415,4.073581,2.9792712,10.142647,2.599814,7
416,4.596369,2.9723642,9.751251,3.5124767,10
417,4.949483,4.0605536,9.469576,3.3162022,4
418,5.563324,3.8721428,8.204008,3.4693851,4
419,4.554447,4.519917,8.054057,3.9183652,5
420,4.2221494,4.143987,7.828897,5.1963315,2
