,Component_1,Component_2,Component_3,Component_4,IntClustMemb
MB-0235,1.817246,0.54403126,10.392618,1.6970276,8
MB-2848,2.9218998,0.7766901,11.253322,1.494046,3
MB-2984,2.9277864,1.2950066,10.413169,1.5413457,9
MB-3528,2.7645953,1.1260216,11.205265,1.7938565,5
MB-6286,2.422891,-0.06106222,10.035351,2.2763925,3
MB-7200,2.7096195,0.33688328,10.38368,1.2462722,8
MB-2867,2.5935001,0.84728485,11.527436,1.5952306,4
MB-4390,3.1139414,0.10867267,9.785367,2.4679363,8
MB-6214,2.8884087,0.03519319,10.188559,2.3467944,3
MB-0596,2.1261806,1.5542461,10.295738,1.9453503,3
MB-5258,3.3380945,1.5459511,11.198536,2.6639707,10
MB-4621,3.147165,1.5188475,10.592892,2.7367501,10
MB-0238,3.1163256,1.8858842,11.109065,3.1713212,10
MB-2863,2.5218089,0.54566175,11.445615,1.7538201,4
MB-5532,1.982332,0.589831,9.84219,2.9380066,7
MB-5529,3.186473,1.85923,10.977211,2.928565,10
MB-5483,2.395715,1.4340867,10.640529,2.7658374,5
MB-7165,3.2847202,1.8434464,11.175618,2.561114,10
MB-0499,2.1953437,1.6990836,12.07413,2.7825475,4
MB-2966,2.8598876,0.7565784,10.944467,1.2251703,8
MB-0116,1.7770296,1.1228478,11.037737,1.9751275,6
MB-0552,1.8230275,1.4246676,11.106526,2.010307,5
MB-0653,2.4692361,1.2121104,9.960556,1.684792,9
MB-0340,2.8951347,1.9138486,11.133813,2.8953407,10
MB-0106,2.9632013,0.4494242,10.396005,1.8178558,8
MB-5324,2.7943177,0.2741685,10.358648,2.4612627,3
MB-5154,2.5030475,1.1196989,11.010055,3.2386813,3
MB-3300,2.0191133,0.5440719,10.97567,1.7843624,7
MB-5641,1.9999907,0.9189383,9.928052,2.8654656,2
MB-7035,1.8009745,1.4394876,11.015357,2.1662998,5
MB-0039,2.38312,1.0817715,11.367638,0.8179656,4
MB-5315,2.7075727,1.5857764,10.912978,3.3697436,4
MB-3357,2.949033,0.965485,10.30832,1.4411273,9
MB-4298,3.1707144,0.2070218,9.853054,2.645177,9
MB-6169,2.3674326,1.6477003,11.044603,2.815755,4
MB-7283,2.6642997,0.062181637,10.297257,2.0487325,6
MB-3850,2.1373868,1.1225746,11.346014,1.9400414,4
MB-6271,2.1122794,0.060263354,10.001516,2.61321,7
MB-3006,2.4853961,1.2452848,11.64851,2.2575336,4
MB-4665,2.1841605,0.09406025,10.155058,2.7365115,4
MB-6098,3.3575878,1.6452801,11.381852,2.7517807,10
MB-7187,2.5024405,0.82642215,11.097371,3.1142256,5
MB-3754,2.7209637,1.1281381,11.207548,1.7155908,1
MB-0273,2.3653235,0.6902508,10.142424,1.1414608,8
MB-7042,1.8906728,0.6559667,10.17463,1.858503,8
MB-0619,1.7840455,1.3577223,10.5320835,2.2979822,4
MB-5199,2.5619054,0.9983333,10.759677,2.9763029,5
MB-5605,2.517576,0.5972435,10.622597,1.5754851,3
MB-7130,2.2449563,0.7841656,9.671955,2.3256278,9
MB-5388,2.383887,0.9396986,9.722518,2.4995618,7
MB-5583,2.9592772,0.73243546,10.49369,2.0577462,7
MB-0410,2.449418,1.2170709,11.020538,2.331855,3
MB-5510,2.5473433,0.29240757,9.820719,1.9634072,3
MB-4966,2.8554642,0.41197366,10.888783,2.27052,3
MB-7251,2.8103733,0.8977154,10.592865,2.814183,5
MB-3838,2.1188474,0.29694465,10.334149,1.3761442,8
MB-7037,2.569796,0.3282625,10.038623,1.4400314,8
MB-2771,3.0241687,1.5433345,11.448197,2.434794,10
MB-3378,2.3251975,0.92241555,11.239569,1.7736802,4
MB-5562,2.1769786,0.18542616,9.939113,1.8942928,2
MB-0206,2.8007898,2.0399628,11.147106,2.8864236,10
MB-7252,2.6084378,1.6633493,10.793107,3.1928885,4
MB-4342,2.3103595,0.6679004,11.258234,3.0236912,4
MB-0231,2.193013,0.4103465,10.686083,1.7732991,3
MB-0139,2.1460729,0.5186951,11.464848,2.8701992,3
MB-7061,2.1546993,1.3376274,11.052817,2.1937072,4
MB-6160,2.5114188,1.8477153,10.915886,3.189007,9
MB-0195,1.9601814,1.0974396,9.987627,1.823722,6
MB-6133,2.9386282,0.23951173,10.377812,2.678566,3
MB-4654,3.268759,0.4774779,9.891338,2.6919632,8
MB-0199,1.8632945,1.0464675,10.493318,1.8652385,3
MB-5453,2.4334805,0.692469,11.523139,2.954251,4
MB-7201,2.6205134,1.6720551,11.227672,3.5837731,3
MB-5348,3.184947,1.6190267,11.282132,2.8834808,10
MB-5115,3.3824952,1.8024665,11.168882,2.8840241,10
MB-4867,2.8868365,0.5181633,10.419098,1.8873563,3
MB-5306,2.2647908,0.44435242,10.31641,3.1247272,7
MB-3371,2.89881,0.77259845,10.404265,1.205033,8
MB-4329,2.0117295,0.2027769,9.916534,2.094739,7
MB-0282,2.1742086,0.8139056,11.590771,2.7211697,4
MB-0904,2.2360737,0.87533414,10.389596,1.5541618,3
MB-3823,2.1199896,1.2962545,11.188543,1.6603633,3
MB-3301,2.6651726,1.1584264,10.650431,1.2683766,8
MB-5066,2.598722,-0.006583124,10.072566,2.4507546,3
MB-7254,2.7663622,0.54551715,10.309416,1.3050954,8
MB-2749,2.2801747,0.8590814,10.942412,1.5490301,3
MB-2834,2.8253078,1.2839073,11.263787,2.079227,3
MB-7032,2.3410046,0.06201767,10.332223,2.1361408,3
MB-0322,1.9346244,0.5022986,10.40032,1.8029857,8
MB-7153,2.835236,0.39514,10.227973,1.3081009,8
MB-6011,2.0219245,0.564161,9.599791,2.732658,1
MB-7161,2.4370987,0.30976334,10.94322,2.2890632,6
MB-0528,1.6752105,1.3770276,10.777926,2.0870273,2
MB-4354,3.2277176,0.3466132,10.0809355,2.878917,1
MB-0164,3.1350062,1.8348181,11.430014,2.907371,10
MB-5463,2.8744323,0.68286717,9.61039,2.9960294,9
MB-7076,2.0256984,-0.10282613,10.719592,1.8384286,7
MB-0189,1.9821899,1.0741607,11.598918,2.5105608,6
MB-5558,2.3539515,0.47621998,11.2477865,2.9280882,5
MB-4328,2.6170757,0.13775009,9.914869,2.1124027,7
MB-6251,3.0806153,1.5029601,11.19702,2.9482527,10
MB-6024,3.153056,0.22712928,10.005637,2.4225242,8
MB-4935,3.108759,0.8252574,10.106616,3.1340423,5
MB-5134,2.9226742,0.21444947,10.509761,2.3681304,3
MB-3088,1.9352188,0.2782065,9.9278345,2.6857393,7
MB-0244,1.7608595,-0.12391403,10.832567,1.8861464,4
MB-0203,1.8309162,1.1513882,10.509273,1.5447323,7
MB-0637,2.1010437,1.1341031,10.140253,1.8104801,10
MB-5137,3.143147,1.9861028,10.923615,3.048153,10
MB-4994,2.6503327,0.34553984,9.86519,1.5833398,8
MB-6190,1.8267146,0.37954924,10.799222,2.526571,4
